created_at,img_name,language,like_count,quote_count,referenced_tweets,retweet_count,text,tweet_id,text_sentiment,image_sentiment
2019-01-02T19:31:00.000Z,id_1080547022317412352_2019-01-02.jpg,en,212,16,<NA>,151,"\\#Nuclear is ideal for dealing with climate change, because it is the only carbon-free, scalable energy source that\xe2\x80\x99s available 24 hours a day,\\"" says @BillGates in his end of year review. https://t.co/COCsFnRkXZ https://t.co/XrLlo9PhF3""",1080547022317412352,,
2019-01-18T09:04:07.000Z,id_1086187467156398080_2019-01-18.jpg,de,379,7,<NA>,77,Huge protest for #climatechange in Freiburg. #FridaysForFuture https://t.co/a5KPgDKq2z,1086187467156398080,,
2019-04-10T14:47:08.000Z,id_1115989597157249025_2019-04-10.jpg,en,581,85,<NA>,252,"Rep. Thomas Massie (R-Ky.) appears to refer to political science as \\pseudoscience\\"" in bizarre exchange with John Kerry yesterday during climate change hearing https://t.co/8nsHTdQUxr https://t.co/voO5bfnVeO""",1115989597157249025,,
2019-09-09T05:47:58.000Z,id_1170936867610615810_2019-09-09.jpg,en,673,12,<NA>,157,"Departmental briefing @FMEnvng continues with Climate Change, Forestry, Pollution Control & Environmental Health Deparments presenting today https://t.co/FZykZm8pDn",1170936867610615810,,
2019-10-06T01:16:38.000Z,id_1180653054728650753_2019-10-06.jpg,en,231,5,<NA>,96,"Beautiful. One week after 500,000 people flooded the streets of #Montreal to demand action on climate change, people were back to collectively paint a message to our national \'leaders\' - \\Act On Climate, We Rise Together.\\""#ClimateStrike #go100re #GreenNewDeal @GretaThunberg https://t.co/GXz8WcNW1r""",1180653054728650753,,
2019-09-10T16:03:55.000Z,id_1171454263689564160_2019-09-10.jpg,en,566,12,<NA>,172,Students have led the way calling for action on the climate crisis. #TUC2019 has voted to support them.We will support the fight against climate change to help protect the planet. We\xe2\x80\x99ll stand up for workers to make the transition to a greener economy just. #ClimateAction https://t.co/RMH4D8zGNL,1171454263689564160,,
2019-08-20T04:01:04.000Z,id_1163662206090862593_2019-08-20.jpg,en,925,62,<NA>,483,"Scientists bid farewell to Okj\xc3\xb6kull, the first Icelandic glacier lost to climate change, with a monument that features \\A letter to the future\\"" https://t.co/wEB0AIseWZ https://t.co/X9iD9YRPuL""",1163662206090862593,,
2019-04-16T19:09:02.000Z,id_1118229830737301505_2019-04-16.jpg,en,155,0,<NA>,25,"b""Massive respect for everyone who's had the guts to be arrested today to draw attention to the British government's complete failure to take the urgent threat we face from climate change seriously.The only rational response to the science is to demand change and to demand it now https://t.co/v6tYZjcwjI""",1118229830737301505,,
2019-01-15T19:32:11.000Z,id_1085258361497681920_2019-01-15.jpg,en,1152,15,<NA>,211,there are no conservative solutions to climate change. https://t.co/lv06Q6mItR,1085258361497681920,,
2019-04-21T09:54:10.000Z,id_1119902133338484736_2019-04-21.jpg,en,179,7,<NA>,159,"Our petition calling on UK Government to restore #nature on a massive scale to help stop #ClimateChange has just received its 30,000th signature. Amazing stuff! Can we get to 100k and force a debate in parliament? Please keep signing! https://t.co/PUu2pmSrd1 https://t.co/6WHraeepY0",1119902133338484736,,
2019-09-24T23:33:59.000Z,id_1176640954515824640_2019-09-24.jpg,en,1610,1,<NA>,95,"Did you see the \xe2\x80\x9cpresident\xe2\x80\x9d mock 16-year-old @GretaThunberg in a tweet today? We should all be applauding this amazing climate change activist for working harder to save our planet than many in our own government. Thank you, Greta!! Your new bio is brilliant...just like you! \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/Fr2AkA8z7c",1176640954515824640,,
2019-02-23T20:02:34.000Z,id_1099399134363041792_2019-02-23.jpg,en,158,9,<NA>,58,"b""55 councils signed the Local Govt Leaders' #ClimateChange Declaration. The other twenty-three, incl Coromandel & West Coast have not. Pictured is Sandra Goudie, Mayor of Thames Coromandel. My @NZStuff @SundayStarTimes #cartoon #nzpol https://t.co/Hh5GP7FET2""",1099399134363041792,,
2019-04-03T18:13:19.000Z,id_1113504769660919808_2019-04-03.jpg,en,1189,11,<NA>,100,"Hosting IKEA #OneHomeOnePlanet 2-Day Summit w GLOBAL THOUGHT LEADERS in sustainability development, climate change, Refugee Business Integration, the Gig-Economy & Social Entrepreneurship, here to assist @IKEA_PresseTo co-create a more planet & people positive ethos within IKEA https://t.co/4O0nIzyxiH",1113504769660919808,,
2019-08-01T14:24:50.000Z,id_1156933812150034432_2019-08-01.jpg,en,345,2,<NA>,46,"Planting Neem \xf0\x9f\x8c\xb3 besides conocarpus plants. Once neems are grown up, we will remove #conocarpus. Enjoying plantation in this weather, probably it the best season to plant \xf0\x9f\x8c\xb2 #Plant4Pakistan #ClimateChange #PlantForPakistan https://t.co/GUcl7my8I8",1156933812150034432,,
2019-12-10T17:04:41.000Z,id_1204446852973826054_2019-12-10.jpg,en,1433,12,<NA>,355,"\xe2\x80\x9cPeople need to be at the heart of the response to climate change.\xe2\x80\x9d Hear from Indonesia Country Director, Ankur Garg, about our exciting multimedia project inspiring young people to join the climate conversation: https://t.co/g4vTfN7SU0 #COP25 #ClimateAction #Media4Dev https://t.co/J7ku459hwi",1204446852973826054,,
2019-09-08T11:11:31.000Z,id_1170655901004566528_2019-09-08.jpg,en,153,5,<NA>,45,#SaveAareyForest Protested against the decision to cut around 2700 trees in Aarey forest to make way for a car shed for Metro. We need to conserve trees to battle the climate change challenges.. @mybmc https://t.co/rZjovYOnH2,1170655901004566528,,
2019-05-19T21:35:14.000Z,id_1130225426465415168_2019-05-19.jpg,en,152,3,<NA>,65,The Truth Is:Bernie Sanders Is The Candidate To Build A Movement To Tackle Climate Change.Bernie Sanders Is The Candidate To Fight The Fossil Fuel Industry.Bernie Sanders Is The Candidate To Save Our Planet.#Bernie2020 https://t.co/yKZ3VHkyGI,1130225426465415168,,
2019-10-31T16:31:40.000Z,id_1189943027449634817_2019-10-31.jpg,en,378,3,<NA>,38,Some YouTube comment said the plot of Promare was: The gays stopped climate change https://t.co/b9LJgOdo2v,1189943027449634817,,
2019-08-09T15:05:52.000Z,id_1159843240821964801_2019-08-09.jpg,en,277,4,<NA>,63,"Education, for sustainability & prosperity of #NewIndia!Smart classes in the schools of #AspirationalDistrict Pakur provide a #digital mode of learning, with themes of #ClimateChange & #JalShaktiAbhiyan on the walls to sensitise students about important environmental issues. https://t.co/7hv2YI9H2b",1159843240821964801,,
2019-07-29T17:16:16.000Z,id_1155889790887321601_2019-07-29.jpg,en,201,6,<NA>,150,"b""Earth's warming in the late 1900s was more widespread than any point in the previous 2,000 years.A new study shows older climate events \xe2\x80\x94 like ones cited by people who deny human-driven climate change \xe2\x80\x94 were much more local.Today's global warming affects 98% of the planet. https://t.co/z17hDTlhEi""",1155889790887321601,,
2019-06-03T00:13:56.000Z,id_1135338792095633408_2019-06-03.jpg,en,170,6,<NA>,89,"When PM Scott Morrison arrived in the #SolomonIslands, these champions at the airport asked he #StopAdani and #FreeWestPapua. $ Solidarity for their neighbours and concern for the massive local #ClimateChange impacts. Thank you! #auspol https://t.co/a2duuX6M93",1135338792095633408,,
2019-08-20T22:50:09.000Z,id_1163946350884642817_2019-08-20.jpg,en,149,2,<NA>,64,\xe2\x80\x9cClimate change is threatening the entire planet. It pains me very much that we have a president who believes climate change is a hoax. It is not a hoax. As president it will be my job to stand up to the fossil fuel industry and tell them this isn\xe2\x80\x99t about profits.\xe2\x80\x9d@SenSanders https://t.co/7sU5wmGCZY,1163946350884642817,,
2019-02-27T17:49:39.000Z,id_1100815238948155394_2019-02-27.jpg,en,325,0,<NA>,15,Weekly Report - Week 7 #africa #asean #battery #bitcoin #blockchain #climatechange #corda #elonmusk #greenenergy #irena #LO3 #pilotproject #powerwall #R3 #renewables #siemens #storage #tesla #thailand https://t.co/RKt5lVKYnz https://t.co/XzzMbQ1e9j,1100815238948155394,,
2019-05-05T19:38:56.000Z,id_1125122728263024642_2019-05-05.jpg,en,200,9,<NA>,112,"b""In April, there were only two substantive segments on climate change, marking a three month low. We can see the effects of climate change all around us. We just don't see it covered by some of the most influential TV news shows in a meaningful, consistent way. #ClimateCoverage https://t.co/G88dAJfU0t""",1125122728263024642,,
2019-04-30T17:08:38.000Z,id_1123272962830995458_2019-04-30.jpg,en,177,21,<NA>,34,"Evidence continues to mount that climate change is harming our state and nation. Today, I was proud to introduce a bipartisan bill to create the Maine Climate Council and continue our work to combat this threat, expand our clean energy economy, & invest in our future. https://t.co/MiCoKkFQZX",1123272962830995458,,
2019-07-30T10:26:28.000Z,id_1156149048988119040_2019-07-30.jpg,en,11689,404,<NA>,6791,The top image is a fictitious weather report imagining what the weather would be like in 2050 for a 2014 French TV documentary about climate change. The bottom image is the real weather report from last week https://t.co/wBpqq08LGN,1156149048988119040,,
2019-05-18T02:56:51.000Z,id_1129581587341778944_2019-05-18.jpg,en,5541,293,<NA>,4285,"b""After more than 7,000 hours underwater, today I did the saddest dive of my life. Here is a before and after, just 8 weeks separate those pictures. If we don't deal with #climatechange now, this can happen to most coral reefs in the world! #HopeForReefs https://t.co/1wkDwojmLB""",1129581587341778944,,
2019-04-12T07:37:01.000Z,id_1116606128819859456_2019-04-12.jpg,en,738,6,<NA>,176,20 weeks #FridaysForFuture #ClimateStrike in Nigeria.Not signing the climate change bill by our leaders is equivalent to them seeing thousands of us hitting the street because we are now in an era when we stand for things that matters to our future.@GretaThunberg https://t.co/PmM6asElnk,1116606128819859456,,
2019-03-04T17:00:20.000Z,id_1102614766772727808_2019-03-04.jpg,en,186,0,<NA>,15,"Climate kitty is honouring @UCSUSA\xe2\x80\x99s 50th birthday in typical cat fashion, by sitting on their most comprehensive climate impact report, \xe2\x80\x9cConfronting climate change in the US Northeast\xe2\x80\x9d. #itfitzhesitz https://t.co/WGKPQ2XZgd",1102614766772727808,,
2019-06-23T14:00:32.000Z,id_1142794570134106113_2019-06-23.jpg,en,192,13,<NA>,106,"b""The upcoming #heatwave in #Europe reminds us that #ClimateChange is real. It's a race against time but it's a race we can still win.#ClimateAction is more important than ever, we have to act NOW: https://t.co/Hm4ytOUDg4 https://t.co/SeSqsQeQ5n""",1142794570134106113,,
2019-11-05T14:10:03.000Z,id_1191719329831669761_2019-11-05.jpg,en,160,1,<NA>,14,"Three Delhi Girls at the Arctic circle, on their way to the North Pole. #ClimateChange https://t.co/mEXqoeCtju",1191719329831669761,,
2019-11-27T15:10:01.000Z,id_1199706953586487298_2019-11-27.jpg,en,224,30,<NA>,95,If you didnt care about climate change so far but really enjoy a good glass of wine this might unsettle you: Winemakers will have to move further from the equator to have fabourable grwoing continitions. Source: https://t.co/GYIq1zss5f https://t.co/0seR3Frj2u,1199706953586487298,,
2019-06-02T22:54:34.000Z,id_1135318821609398272_2019-06-02.jpg,en,261,2,<NA>,54,Context for Bernie\xe2\x80\x99s new #NoMiddleGround messaging: Biden\xe2\x80\x99s \xe2\x80\x9cmiddle ground\xe2\x80\x9d approach to climate change. https://t.co/JrvuJNtIbg,1135318821609398272,,
2019-12-19T22:54:17.000Z,id_1207796321865748485_2019-12-19.jpg,en,161,5,<NA>,130,For any overseas followers this sums up the week in Australia \xf0\x9f\x87\xa6\xf0\x9f\x87\xba. Exhausted & under-resourced volunteer rural fire fighters left to fight it out against a climate change altered landscape while the Prime Minister jetted off in his new $250M plane to Hawaii for a holiday. #auspol https://t.co/XLXEWHE08C,1207796321865748485,,
2019-08-15T15:46:55.000Z,id_1162027899668586504_2019-08-15.jpg,en,160,3,<NA>,22,Meteorologists say July was the hottest month recorded on Earth since records began in 1880. @AP  #climatechange #ClimateAction #ClimateCrisis https://t.co/1uzIucw8H2,1162027899668586504,,
2019-09-14T16:35:04.000Z,id_1172911651835826176_2019-09-14.jpg,en,284,8,<NA>,149,The impact of #climatechange affects women and girls disproportionately due to existing gender inequalities.Our Deputy Exec. Dir. @abhatiaunwomen & @UNDP Assistant Administrator @UlrikaModeer share why via @ipsnews https://t.co/G3rZVofN8e https://t.co/METtHJq9dT,1172911651835826176,,
2019-02-28T17:45:31.000Z,id_1101176583912599552_2019-02-28.jpg,en,245,10,<NA>,29,Exciting/terrifying update: writing a book with @IslandPress about science communication & engagement on emotional & contentious issues. It will be practice-based view & expand themes from pieces like this @onbeing https://t.co/q4HvuDEVyd & @newrepublic https://t.co/UdWXH3df7h https://t.co/zCDn8iboKQ,1101176583912599552,,
2019-10-15T15:17:16.000Z,id_1184126098105339906_2019-10-15.jpg,en,555,23,<NA>,178,"We need to wash out corporate influence by flooding our elections with small donors. $100 Democracy Dollars for all will do it, enabling us to overturn Citizens United and conquer challenges like climate change + the 4th Industrial Revolution. #DemDebatehttps://t.co/AHAeWSnAlu https://t.co/abLQ7mAWF2",1184126098105339906,,
2019-02-14T16:14:06.000Z,id_1096080149773209600_2019-02-14.jpg,en,228,16,<NA>,109,"Two decades ago, this bridge in the Swiss Alps did not exist. Instead, a glacier allowed hikers to cross the valley. https://t.co/zdllnVLMdR https://t.co/2WJH6WhnmE",1096080149773209600,,
2019-02-27T16:32:25.000Z,id_1100795802224611328_2019-02-27.jpg,en,571,31,<NA>,445,"What on earth are we doing? Burning @visitsnowdonia NP to increase grazable area for sheep and subsidy? Stonechats building nests, saplings, inverts, reptiles, small mammals all up in smoke. @michaelgove @GeorgeMonbiot @MarkAvery @DailyPostNews @Snowdonia_Soc #climatechange https://t.co/hYUdDhw1Uk",1100795802224611328,,
2019-10-16T13:18:33.000Z,id_1184458611113811968_2019-10-16.jpg,en,2952,24,<NA>,567,The Duke and Duchess of Cambridge visited the remote Chiatibo Glacier in Broghil National Park to see how #ClimateChange is causing glaciers to melt and creating risks for downstream communities. #RoyalVisitPakistan https://t.co/3nQYVLQ1xR,1184458611113811968,,
2019-07-12T21:40:00.000Z,id_1149795568249638913_2019-07-12.jpg,en,393,3,<NA>,143,How to get people to care about climate change. \xf0\x9f\x96\x8b by @kendrawcandraw https://t.co/zItcPyQqaR https://t.co/OarBFwjAWw,1149795568249638913,,
2019-03-03T05:41:57.000Z,id_1102081658944073729_2019-03-03.jpg,en,270,10,<NA>,147,The 2014 repeal of the Carbon Price was the Liberal\xe2\x80\x99s Neville Chamberlain moment. We should never forget the charlatans who led us down this path.\xc2\xa0See my article here https://t.co/tbFcpNWdtN  #auspol https://t.co/GgvAAklhLL,1102081658944073729,,
2019-01-20T23:42:28.000Z,id_1087133289134010368_2019-01-20.jpg,en,291,3,<NA>,29,"Reminder as this is on twitter news again.  Weather and Climate are two different things.  It\xe2\x80\x99s brutally cold in areas of the world right now, with intense snowfall-this does not disprove climate change.Personally, the more snow and cold we get, the better!  #climatechange https://t.co/qsa1a0OwO2",1087133289134010368,,
2019-02-25T20:54:35.000Z,id_1100137001146376195_2019-02-25.jpg,en,167,0,<NA>,24,"[SAVE THE DATE: MARCH 14] The countdown is on! We are 4 weeks away from the #OnePlanetSummit. #Discover how the @WorldBank Group is helping African countries protect #biodiversity, promote #renewableenergies and foster adaptation to #climatechange \xe2\x9e\xa1\xef\xb8\x8f https://t.co/Hpw7U6yHRB https://t.co/ce1OBEBhUj",1100137001146376195,,
2019-07-11T16:56:26.000Z,id_1149361819129176065_2019-07-11.jpg,en,172,16,<NA>,568,"PODCAST UPDATEWant a free, limited edition, Met \xc3\x89ireann reusable coffee cup? \xe2\x98\xba\xef\xb8\x8fRetweet this & we will pick a winner at random tomorrow (Fri) \xf0\x9f\x8f\x86\xe2\x98\x95\xef\xb8\x8fA new episode has just been released!Episode 1: Climate ChangeEpisode 2: What Causes Ireland\xe2\x80\x99s Weatherhttps://t.co/ER4DSMK4ZE https://t.co/LD8lfrrO7w",1149361819129176065,,
2019-07-08T11:45:20.000Z,id_1148196366801203200_2019-07-08.jpg,en,188,4,<NA>,101,"#QandA Why are we debating nuclear weapons in 30-50 years, instead of addressing the deadly impacts of climate change right now? - like back-to-back climate extremes that killed 50% of corals on the #GreatBarrierReef  in 2016 & 2017. https://t.co/8R0S5BxsjA https://t.co/oxQ4blPWWN",1148196366801203200,,
